,Date,Open,High,Low,Close,Volume,Currency,ticker
0,2010-01-03,8.25,8.55,8.25,8.55,628696,BRL,ITUB3
1,2010-01-04,8.53,8.56,8.44,8.56,184037,BRL,ITUB3
2,2010-01-05,8.56,8.56,8.44,8.56,117386,BRL,ITUB3
3,2010-01-06,8.5,8.51,8.43,8.48,137549,BRL,ITUB3
4,2010-01-07,8.45,8.47,8.29,8.38,96580,BRL,ITUB3
5,2010-01-10,8.35,8.42,8.04,8.26,158773,BRL,ITUB3
6,2010-01-11,8.19,8.34,8.16,8.34,81879,BRL,ITUB3
7,2010-01-12,8.29,8.34,8.18,8.34,289984,BRL,ITUB3
8,2010-01-13,8.27,8.27,8.15,8.19,178222,BRL,ITUB3
9,2010-01-14,8.19,8.23,8.0,8.23,180741,BRL,ITUB3
10,2010-01-17,8.15,8.26,8.1,8.23,75449,BRL,ITUB3
11,2010-01-18,8.15,8.24,8.1,8.2,213301,BRL,ITUB3
12,2010-01-19,8.13,8.13,7.8,7.98,352633,BRL,ITUB3
13,2010-01-20,8.02,8.02,7.75,7.79,195765,BRL,ITUB3
14,2010-01-21,7.76,7.95,7.73,7.94,98660,BRL,ITUB3
15,2010-01-25,7.71,7.95,7.68,7.91,210514,BRL,ITUB3
16,2010-01-26,7.89,7.89,7.74,7.89,115774,BRL,ITUB3
17,2010-01-27,7.93,7.95,7.81,7.95,450217,BRL,ITUB3
18,2010-01-28,7.95,8.11,7.84,8.01,504348,BRL,ITUB3
19,2010-01-31,8.0,8.1,7.93,8.1,271993,BRL,ITUB3
20,2010-02-01,8.12,8.18,8.01,8.18,215141,BRL,ITUB3
21,2010-02-02,8.16,8.17,8.02,8.09,145895,BRL,ITUB3
22,2010-02-03,7.99,8.06,7.7,8.03,380101,BRL,ITUB3
23,2010-02-04,7.88,7.88,7.46,7.83,491423,BRL,ITUB3
24,2010-02-07,7.75,7.83,7.57,7.67,406931,BRL,ITUB3
25,2010-02-08,7.77,7.94,7.77,7.93,232453,BRL,ITUB3
26,2010-02-09,7.89,8.01,7.83,7.99,289279,BRL,ITUB3
27,2010-02-10,7.96,8.11,7.85,7.9,236870,BRL,ITUB3
28,2010-02-11,7.97,8.07,7.85,8.07,98829,BRL,ITUB3
29,2010-02-16,7.99,8.26,7.99,8.25,109619,BRL,ITUB3
30,2010-02-17,8.18,8.26,8.1,8.26,61134,BRL,ITUB3
31,2010-02-18,8.07,8.26,8.07,8.24,120810,BRL,ITUB3
32,2010-02-21,8.26,8.26,8.06,8.09,287908,BRL,ITUB3
33,2010-02-22,8.01,8.01,7.78,7.89,446883,BRL,ITUB3
34,2010-02-23,7.84,7.88,7.78,7.88,246283,BRL,ITUB3
35,2010-02-24,7.81,7.9,7.67,7.89,248560,BRL,ITUB3
36,2010-02-25,7.87,8.06,7.75,8.06,287454,BRL,ITUB3
37,2010-02-28,8.09,8.09,8.01,8.07,91926,BRL,ITUB3
38,2010-03-01,8.06,8.13,8.01,8.13,180954,BRL,ITUB3
39,2010-03-02,8.15,8.22,8.08,8.22,209130,BRL,ITUB3
40,2010-03-03,8.23,8.26,8.13,8.23,86809,BRL,ITUB3
41,2010-03-04,8.23,8.29,8.19,8.29,118177,BRL,ITUB3
42,2010-03-07,8.2,8.26,8.18,8.23,65177,BRL,ITUB3
43,2010-03-08,8.19,8.31,8.13,8.29,614337,BRL,ITUB3
44,2010-03-09,8.23,8.36,8.23,8.32,530275,BRL,ITUB3
45,2010-03-10,8.29,8.32,8.19,8.32,310292,BRL,ITUB3
46,2010-03-11,8.34,8.34,8.16,8.26,112412,BRL,ITUB3
47,2010-03-14,8.21,8.3,8.18,8.3,139236,BRL,ITUB3
48,2010-03-15,8.25,8.31,8.25,8.31,77298,BRL,ITUB3
49,2010-03-16,8.32,8.32,8.16,8.26,280171,BRL,ITUB3
50,2010-03-17,8.2,8.23,8.1,8.2,222850,BRL,ITUB3
51,2010-03-18,8.16,8.2,8.09,8.16,377496,BRL,ITUB3
52,2010-03-21,8.09,8.24,8.04,8.24,166644,BRL,ITUB3
53,2010-03-22,8.2,8.23,8.09,8.23,57991,BRL,ITUB3
54,2010-03-23,8.1,8.14,8.04,8.04,220228,BRL,ITUB3
55,2010-03-24,8.09,8.16,8.04,8.15,235385,BRL,ITUB3
56,2010-03-25,8.13,8.23,8.08,8.23,449363,BRL,ITUB3
57,2010-03-28,8.2,8.34,8.19,8.34,379295,BRL,ITUB3
58,2010-03-29,8.33,8.35,8.27,8.34,214070,BRL,ITUB3
59,2010-03-30,8.34,8.44,8.32,8.42,622731,BRL,ITUB3
60,2010-03-31,8.44,8.57,8.44,8.51,456724,BRL,ITUB3
61,2010-04-04,8.51,8.57,8.48,8.57,216751,BRL,ITUB3
62,2010-04-05,8.38,8.57,8.38,8.51,76316,BRL,ITUB3
63,2010-04-06,8.48,8.48,8.37,8.47,74792,BRL,ITUB3
64,2010-04-07,8.36,8.64,8.36,8.63,351280,BRL,ITUB3
65,2010-04-08,8.64,8.68,8.54,8.68,353196,BRL,ITUB3
66,2010-04-11,8.63,8.64,8.56,8.63,128718,BRL,ITUB3
67,2010-04-12,8.6,8.65,8.5,8.65,52879,BRL,ITUB3
68,2010-04-13,8.56,8.68,8.46,8.68,372689,BRL,ITUB3
69,2010-04-14,8.6,8.64,8.54,8.64,257907,BRL,ITUB3
70,2010-04-15,8.52,8.53,8.33,8.38,388185,BRL,ITUB3
71,2010-04-18,8.29,8.36,8.16,8.29,108470,BRL,ITUB3
72,2010-04-19,8.26,8.42,8.21,8.42,101824,BRL,ITUB3
73,2010-04-21,8.25,8.32,8.14,8.32,328357,BRL,ITUB3
74,2010-04-22,8.33,8.36,8.22,8.36,137330,BRL,ITUB3
75,2010-04-25,8.25,8.38,8.22,8.38,116545,BRL,ITUB3
76,2010-04-26,8.24,8.24,7.97,8.0,349264,BRL,ITUB3
77,2010-04-27,8.03,8.11,7.99,8.09,129032,BRL,ITUB3
78,2010-04-28,8.09,8.24,8.09,8.24,250671,BRL,ITUB3
79,2010-04-29,8.25,8.29,8.19,8.29,101139,BRL,ITUB3
80,2010-05-02,8.24,8.29,8.14,8.19,1305777,BRL,ITUB3
81,2010-05-03,8.1,8.19,7.92,7.93,2255389,BRL,ITUB3
82,2010-05-04,7.82,8.07,7.79,8.03,276682,BRL,ITUB3
83,2010-05-05,7.96,8.08,7.54,7.82,358778,BRL,ITUB3
84,2010-05-06,8.0,8.0,7.65,7.85,180295,BRL,ITUB3
85,2010-05-09,8.01,8.15,8.01,8.13,218956,BRL,ITUB3
86,2010-05-10,8.05,8.16,8.04,8.07,453309,BRL,ITUB3
87,2010-05-11,8.08,8.13,8.0,8.1,292817,BRL,ITUB3
88,2010-05-12,7.97,8.07,7.9,7.9,46875,BRL,ITUB3
89,2010-05-13,7.87,7.87,7.71,7.82,121704,BRL,ITUB3
90,2010-05-16,7.81,7.87,7.62,7.81,182614,BRL,ITUB3
91,2010-05-17,7.92,7.92,7.58,7.76,204376,BRL,ITUB3
92,2010-05-18,7.54,7.54,7.23,7.32,1146730,BRL,ITUB3
93,2010-05-19,7.23,7.39,7.14,7.14,628246,BRL,ITUB3
94,2010-05-20,7.26,7.51,7.18,7.37,225518,BRL,ITUB3
95,2010-05-23,7.4,7.4,7.24,7.4,283960,BRL,ITUB3
96,2010-05-24,7.26,7.26,6.89,7.18,551481,BRL,ITUB3
97,2010-05-25,7.26,7.38,7.15,7.32,198433,BRL,ITUB3
98,2010-05-26,7.43,7.54,7.43,7.48,229656,BRL,ITUB3
99,2010-05-27,7.39,7.54,7.36,7.54,63025,BRL,ITUB3
100,2010-05-30,7.54,7.68,7.44,7.68,261460,BRL,ITUB3
101,2010-05-31,7.54,7.63,7.47,7.61,123472,BRL,ITUB3
102,2010-06-01,7.61,7.74,7.54,7.65,288925,BRL,ITUB3
103,2010-06-03,7.65,7.65,7.47,7.54,236738,BRL,ITUB3
104,2010-06-06,7.53,7.53,7.35,7.35,89669,BRL,ITUB3
105,2010-06-07,7.43,7.57,7.26,7.52,212416,BRL,ITUB3
106,2010-06-08,7.52,7.6,7.4,7.4,230260,BRL,ITUB3
107,2010-06-09,7.46,7.6,7.46,7.53,157293,BRL,ITUB3
108,2010-06-10,7.49,7.71,7.43,7.68,502696,BRL,ITUB3
109,2010-06-13,7.73,7.74,7.62,7.62,137272,BRL,ITUB3
110,2010-06-14,7.61,7.78,7.57,7.75,89377,BRL,ITUB3
111,2010-06-15,7.68,7.81,7.64,7.8,380623,BRL,ITUB3
112,2010-06-16,7.81,7.81,7.63,7.73,305822,BRL,ITUB3
113,2010-06-17,7.71,7.77,7.68,7.71,309688,BRL,ITUB3
