,Código,Ação,Tipo,Qtde. Teórica,Part. (%)
0,ABEV3,AMBEV S/A,ON,4354228928,3.1439999999999997
1,AZUL4,AZUL,PN N2,317471474,0.39899999999999997
2,B3SA3,B3,ON NM,2046021644,6.702999999999999
3,BBAS3,BRASIL,ON NM,1418466803,2.592
4,BBDC3,BRADESCO,ON EJ N1,1253093907,1.3630000000000002
5,BBDC4,BRADESCO,PN EJ N1,4261649634,5.013999999999999
6,BBSE3,BBSEGURIDADE,ON NM,671601167,1.046
7,BEEF3,MINERVA,ON NM,259260688,0.182
8,BPAC11,BTGP BANCO,UNT N2,236727231,1.113
9,BRAP4,BRADESPAR,PN N1,222089397,0.517
10,BRDT3,PETROBRAS BR,ON ED NM,728125000,0.855
11,BRFS3,BRF SA,ON NM,811416229,0.977
12,BRKM5,BRASKEM,PNA N1,264632416,0.353
13,BRML3,BR MALLS PAR,ON NM,843313591,0.501
14,BTOW3,B2W DIGITAL,ON NM,207720872,1.3419999999999999
15,CCRO3,CCR SA,ON NM,1115695556,0.8490000000000001
16,CIEL3,CIELO,ON NM,1118386806,0.305
17,CMIG4,CEMIG,PN EDB N1,1005738679,0.596
18,COGN3,COGNA ON,ON NM,1829322117,0.722
19,CPFE3,CPFL ENERGIA,ON NM,170209781,0.282
20,CRFB3,CARREFOUR BR,ON NM,384888219,0.43200000000000005
21,CSAN3,COSAN,ON NM,153417832,0.6940000000000001
22,CSNA3,SID NACIONAL,ON,642387288,0.48100000000000004
23,CVCB3,CVC BRASIL,ON NM,168533416,0.185
24,CYRE3,CYRELA REALT,ON NM,281154098,0.38
25,ECOR3,ECORODOVIAS,ON NM,171079276,0.129
26,EGIE3,ENGIE BRASIL,ON ED NM,254813401,0.615
27,ELET3,ELETROBRAS,ON N1,358028908,0.706
28,ELET6,ELETROBRAS,PNB N1,240022548,0.49700000000000005
29,EMBR3,EMBRAER,ON NM,736171905,0.318
30,ENBR3,ENERGIAS BR,ON NM,295402225,0.28300000000000003
31,ENGI11,ENERGISA,UNT N2,250709436,0.649
32,EQTL3,EQUATORIAL,ON NM,1010186085,1.3
33,FLRY3,FLEURY,ON NM,305126422,0.42700000000000005
34,GGBR4,GERDAU,PN N1,1031246473,1.008
35,GNDI3,INTERMEDICA,ON NM,458380483,1.673
36,GOAU4,GERDAU MET,PN N1,662644908,0.297
37,GOLL4,GOL,PN N2,134613917,0.141
38,HAPV3,HAPVIDA,ON NM,217060254,0.733
39,HGTX3,CIA HERING,ON NM,126302831,0.107
40,HYPE3,HYPERA,ON NM,407518048,0.737
41,IGTA3,IGUATEMI,ON NM,86913923,0.172
42,IRBR3,IRBBRASIL RE,ON NM,1250792767,0.546
43,ITSA4,ITAUSA,PN N1,4494029326,2.468
44,ITUB4,ITAUUNIBANCO,PN ED N1,4738562684,6.51
45,JBSS3,JBS,ON NM,1620646499,1.903
46,KLBN11,KLABIN S/A,UNT N2,637772642,0.823
47,LAME4,LOJAS AMERIC,PN N1,831190451,1.5519999999999998
48,LREN3,LOJAS RENNER,ON NM,785308019,1.797
49,MGLU3,MAGAZ LUIZA,ON NM,661834080,2.886
50,MRFG3,MARFRIG,ON NM,423143092,0.32
51,MRVE3,MRV,ON NM,294706737,0.285
52,MULT3,MULTIPLAN,ON N2,270279854,0.345
53,NTCO3,GRUPO NATURA,ON NM,706484775,1.744
54,PCAR3,P.ACUCAR-CBD,ON NM,156575731,0.573
55,PETR3,PETROBRAS,ON N2,2949857480,3.763
56,PETR4,PETROBRAS,PN N2,4520185835,5.617999999999999
57,QUAL3,QUALICORP,ON NM,281558308,0.43200000000000005
58,RADL3,RAIADROGASIL,ON NM,207425426,1.2770000000000001
59,RAIL3,RUMO S.A.,ON NM,1053753059,1.265
60,RENT3,LOCALIZA,ON NM,593233155,1.6230000000000002
61,SANB11,SANTANDER BR,UNT EJ,362227661,0.581
62,SBSP3,SABESP,ON NM,339982576,1.046
63,SULA11,SUL AMERICA,UNT N2,278742752,0.745
64,SUZB3,SUZANO S.A.,ON NM,725859318,1.8330000000000002
65,TAEE11,TAESA,UNT N2,218568274,0.337
66,TIMP3,TIM PART S/A,ON NM,807711660,0.675
67,TOTS3,TOTVS,ON EJ NM,403397655,0.598
68,UGPA3,ULTRAPAR,ON NM,1086422872,1.1
69,USIM5,USIMINAS,PNA N1,513781576,0.235
70,VALE3,VALE,ON NM,3292010807,10.686
71,VIVT4,TELEF BRASIL,PN,415131868,1.136
72,VVAR3,VIAVAREJO,ON NM,1443662628,1.4569999999999999
73,WEGE3,WEG,ON NM,689271972,2.501
74,YDUQ3,YDUQS PART,ON NM,299667897,0.521
