,Data,Valor,Tipo,Por quantas ações,Ticker
0,19/12/2019,0.4906,JRS CAP PROPRIO,1,ABEV3
1,18/12/2018,0.32,JRS CAP PROPRIO,1,ABEV3
2,15/06/2018,0.16,DIVIDENDO,1,ABEV3
3,31/01/2018,0.07,DIVIDENDO,1,ABEV3
4,18/12/2017,0.31,JRS CAP PROPRIO,1,ABEV3
5,23/06/2017,0.16,DIVIDENDO,1,ABEV3
6,23/01/2017,0.07,DIVIDENDO,1,ABEV3
7,21/12/2016,0.22,JRS CAP PROPRIO,1,ABEV3
8,31/10/2016,0.16,DIVIDENDO,1,ABEV3
9,11/07/2016,0.13,DIVIDENDO,1,ABEV3
10,29/01/2016,0.13,JUROS,1,ABEV3
11,21/12/2015,0.15,JUROS,1,ABEV3
12,08/09/2015,0.15,DIVIDENDO,1,ABEV3
13,01/06/2015,0.1,Juros,1,ABEV3
14,27/02/2015,0.03,Juros,1,ABEV3
15,27/02/2015,0.06,Juros,1,ABEV3
16,07/01/2015,0.096,JRS CAP PROPRIO,1,ABEV3
17,30/12/2014,0.13,JRS CAP PROPRIO,1,ABEV3
18,27/10/2014,0.22,DIVIDENDO,1,ABEV3
19,28/07/2014,0.1,JRS CAP PROPRIO,1,ABEV3
20,28/07/2014,0.06,DIVIDENDO,1,ABEV3
21,02/04/2014,0.06,DIVIDENDO,1,ABEV3
22,02/04/2014,0.07,DIVIDENDO,1,ABEV3
23,14/01/2014,0.154,JRS CAP PRÓPRIO,1,ABEV3
24,14/01/2014,0.1,DIVIDENDO,1,ABEV3
0,19/12/2019,0.4906,JRS CAP PROPRIO,1,ABEV3
1,18/12/2018,0.32,JRS CAP PROPRIO,1,ABEV3
2,15/06/2018,0.16,DIVIDENDO,1,ABEV3
3,31/01/2018,0.07,DIVIDENDO,1,ABEV3
4,18/12/2017,0.31,JRS CAP PROPRIO,1,ABEV3
5,23/06/2017,0.16,DIVIDENDO,1,ABEV3
6,23/01/2017,0.07,DIVIDENDO,1,ABEV3
7,21/12/2016,0.22,JRS CAP PROPRIO,1,ABEV3
8,31/10/2016,0.16,DIVIDENDO,1,ABEV3
9,11/07/2016,0.13,DIVIDENDO,1,ABEV3
10,29/01/2016,0.13,JUROS,1,ABEV3
